Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Tingkat - I,Tingkat - II,Tingkat - III,Tingkat - IV,Tingkat - V,Tingkat - VI,Jumlah
2016,PROV. JAWA BARAT,32,KAB. CIANJUR,3203,Negeri,42,24,19,27,40,41,193
2016,PROV. JAWA BARAT,32,KAB. CIANJUR,3203,Swasta,0,0,0,0,1,0,1
2016,PROV. JAWA BARAT,32,KAB. BANDUNG,3204,Swasta,2,8,5,6,7,7,35
2016,PROV. JAWA BARAT,32,KAB. BANDUNG,3204,Negeri,48,62,55,47,48,58,318
2016,PROV. JAWA BARAT,32,KAB. GARUT,3205,Swasta,1,4,3,0,0,0,8
2016,PROV. JAWA BARAT,32,KAB. GARUT,3205,Negeri,39,49,24,26,42,87,267
2016,PROV. JAWA BARAT,32,KAB. TASIKMALAYA,3206,Negeri,10,8,8,5,8,10,49
2016,PROV. JAWA BARAT,32,KAB. TASIKMALAYA,3206,Swasta,0,0,0,0,1,0,1
2016,PROV. JAWA BARAT,32,KAB. CIAMIS,3207,Negeri,8,9,5,9,11,5,47
2016,PROV. JAWA BARAT,32,KAB. CIAMIS,3207,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA BARAT,32,KAB. KUNINGAN,3208,Swasta,1,0,0,1,0,0,2
2016,PROV. JAWA BARAT,32,KAB. KUNINGAN,3208,Negeri,18,8,16,4,4,4,54
2016,PROV. JAWA BARAT,32,KAB. CIREBON,3209,Swasta,0,1,0,0,0,0,1
2016,PROV. JAWA BARAT,32,KAB. CIREBON,3209,Negeri,59,36,38,46,50,45,274
2016,PROV. JAWA BARAT,32,KAB. MAJALENGKA,3210,Swasta,0,0,0,0,0,0,0
2016,PROV. JAWA BARAT,32,KAB. MAJALENGKA,3210,Negeri,8,9,3,5,8,5,38
2016,PROV. JAWA BARAT,32,KAB. SUMEDANG,3211,Negeri,9,10,5,6,15,6,51
2016,PROV. JAWA BARAT,32,KAB. SUMEDANG,3211,Swasta,0,1,0,0,1,0,2
2016,PROV. JAWA BARAT,32,KAB. INDRAMAYU,3212,Negeri,28,37,24,24,23,17,153
2016,PROV. JAWA BARAT,32,KAB. INDRAMAYU,3212,Swasta,1,0,1,0,0,0,2
2016,PROV. JAWA BARAT,32,KAB. SUBANG,3213,Negeri,21,19,18,12,18,25,113
2016,PROV. JAWA BARAT,32,KAB. SUBANG,3213,Swasta,0,0,1,1,1,0,3
